,City,Pro,Expert,Expert+,Creator Count,location,coordinates,state,country,OSM_Search_Query
225,"West Palm Beach, FL",311,30,5,346,"West Palm Beach, Palm Beach County, Florida, United States","(26.715364, -80.0532942, 0.0)",West Palm Beach, United States,"West Palm Beach,  United States"
227,"Richmond, VA",322,23,1,346,"Richmond, Virginia, United States","(37.5385087, -77.43428, 0.0)",Richmond, United States,"Richmond,  United States"
228,North America,308,35,0,343,North America,"(51.0000002, -109.0, 0.0)",North America,North America,"North America, North America"
229,Canberra,300,37,4,341,"Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia","(-35.2975906, 149.1012676, 0.0)",Canberra, Australia,"Canberra,  Australia"
230,YouTube,273,63,3,339,"YouTube, 901, Cherry Avenue, YouTube, San Bruno, San Mateo County, California, 94066, United States","(37.628145950000004, -122.4264270211096, 0.0)",YouTube, United States,"YouTube,  United States"
231,Santo Domingo,282,52,2,336,"Santo Domingo, Distrito Nacional, Dominican Republic","(18.4801972, -69.942111, 0.0)",Santo Domingo, Dominican Republic,"Santo Domingo,  Dominican Republic"
232,"South Carolina, USA",311,20,3,334,"South Carolina, United States","(33.6874388, -80.4363743, 0.0)",South Carolina, United States,"South Carolina,  United States"
234,"Cardiff, Wales",308,19,0,327,"Cardiff, Wales, CF10 2AF, United Kingdom","(51.4816546, -3.1791934, 0.0)",Cardiff, United Kingdom,"Cardiff,  United Kingdom"
237,"Lahore, Pakistan",265,50,10,325,"Lahore, Lahore Cantonment Tehsil, Punjab, 54010, Pakistan","(31.5656822, 74.3141829, 0.0)",Lahore, Pakistan,"Lahore,  Pakistan"
238,"Guadalajara, Jalisco",264,57,2,323,"Guadalajara, Jalisco, Mexico","(20.6720375, -103.338396, 0.0)",Guadalajara, Mexico,"Guadalajara,  Mexico"
240,"Ann Arbor, MI",288,28,5,321,"Ann Arbor, Washtenaw County, Michigan, United States","(42.2681569, -83.7312291, 0.0)",Ann Arbor, United States,"Ann Arbor,  United States"
241,Yorkshire,300,18,1,319,"Yorkshire, Prince William County, Virginia, United States","(38.7872666, -77.44589662266645, 0.0)",Yorkshire, United States,"Yorkshire,  United States"
242,"Santa Barbara, CA",288,26,3,317,"Santa Barbara, Santa Barbara County, California, United States","(34.4221319, -119.7026673, 0.0)",Santa Barbara, United States,"Santa Barbara,  United States"
243,"Antalya, Turkiye",277,36,3,316,"Antalya, Muratpaşa, Antalya, Mediterranean Region, 07050, Türkiye","(36.8872942, 30.7074549, 0.0)",Antalya, Türkiye,"Antalya,  Türkiye"
244,"Beverly Hills, CA",262,46,7,315,"Beverly Hills, Los Angeles County, California, United States","(34.0696501, -118.3963062, 0.0)",Beverly Hills, United States,"Beverly Hills,  United States"
245,"Asuncion, Paraguay",248,66,1,315,"Asuncion, Distrito Capital de Paraguay, Región Oriental, Paraguay","(-25.2800459, -57.6343814, 0.0)",Asuncion, Paraguay,"Asuncion,  Paraguay"
246,"Scottsdale, AZ",288,23,3,314,"Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184, 0.0)",Scottsdale, United States,"Scottsdale,  United States"
247,Solana,294,13,0,307,"Solana, Cagayan, Cagayan Valley, 3503, Philippines","(17.6509356, 121.6909171, 0.0)",Solana, Philippines,"Solana,  Philippines"
249,"Kingston, Jamaica",281,22,3,306,"Kingston, Surrey County, Jamaica","(17.9712148, -76.7928128, 0.0)",Kingston, Jamaica,"Kingston,  Jamaica"
252,"Sheffield, England",280,21,3,304,"Sheffield, South Yorkshire, Sheffield City Region, England, United Kingdom","(53.3806626, -1.4702278, 0.0)",Sheffield, United Kingdom,"Sheffield,  United Kingdom"
253,"Kolkata, India",214,74,14,302,"Kolkata, West Bengal, India","(22.5414185, 88.35769124388872, 0.0)",Kolkata, India,"Kolkata,  India"
254,"Montevideo, Uruguay",257,41,2,300,"Montevideo, Uruguay","(-34.9058916, -56.1913095, 0.0)",Montevideo, Uruguay,"Montevideo,  Uruguay"
255,"Sandton, South Africa",275,20,2,297,"Sandton, Johannesburg Ward 103, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 1865, South Africa","(-26.0682406, 28.0479844, 0.0)",Sandton, South Africa,"Sandton,  South Africa"
257,"Akron, OH",261,35,0,296,"Akron, Summit County, Ohio, United States","(41.083064, -81.518485, 0.0)",Akron, United States,"Akron,  United States"
261,"Comunidad de Madrid, Espana",250,39,0,289,"Community of Madrid, Spain","(40.5248319, -3.771562775451811, 0.0)",Community of Madrid, Spain,"Community of Madrid,  Spain"
263,Abu Dhabi,239,42,5,286,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates","(24.4538352, 54.3774014, 0.0)",Abu Dhabi, United Arab Emirates,"Abu Dhabi,  United Arab Emirates"
264,"Quito, Ecuador",241,42,3,286,"Quito, Quito Canton, Pichincha, 170130, Ecuador","(-0.2201641, -78.5123274, 0.0)",Quito, Ecuador,"Quito,  Ecuador"
266,"Copenhagen, Denmark",267,15,1,283,"Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark","(55.6867243, 12.5700724, 0.0)",Copenhagen, Denmark,"Copenhagen,  Denmark"
268,Latinoamerica,232,44,7,283,"Latinoámerica, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina","(-32.966811, -60.6660082, 0.0)",Latinoámerica, Argentina,"Latinoámerica,  Argentina"
269,Delhi,228,40,15,283,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","(28.6517178, 77.2219388, 0.0)",Delhi, India,"Delhi,  India"
270,"Bordeaux, France",259,22,0,281,"Bordeaux, Gironde, Nouvelle-Aquitaine, Metropolitan France, France","(44.841225, -0.5800364, 0.0)",Bordeaux, France,"Bordeaux,  France"
271,"Durham, NC",268,11,0,279,"Durham, Durham County, North Carolina, United States","(35.996653, -78.9018053, 0.0)",Durham, United States,"Durham,  United States"
272,"Oslo, Norway",263,15,0,278,"Oslo, Norway","(59.9133301, 10.7389701, 0.0)",Oslo, Norway,"Oslo,  Norway"
274,"Moscow, Russia",228,40,6,274,"Moscow, Central Federal District, 103073, Russia","(55.7504461, 37.6174943, 0.0)",Moscow, Russia,"Moscow,  Russia"
275,"Warsaw, Poland",242,31,1,274,"Warsaw, Masovian Voivodeship, Poland","(52.2319581, 21.0067249, 0.0)",Warsaw, Poland,"Warsaw,  Poland"
273,"Palo Alto, CA",252,15,7,274,"Palo Alto, Santa Clara County, California, United States","(37.4443293, -122.1598465, 0.0)",Palo Alto, United States,"Palo Alto,  United States"
276,"Augusta, GA",246,25,2,273,"Augusta, Richmond County, Georgia, United States","(33.4709714, -81.9748429, 0.0)",Augusta, United States,"Augusta,  United States"
277,"Baton Rouge, LA",249,22,0,271,"Baton Rouge, East Baton Rouge Parish, Louisiana, United States","(30.4507936, -91.1391153, 0.0)",Baton Rouge, United States,"Baton Rouge,  United States"
279,"Denton, TX",253,16,2,271,"Denton County, Texas, United States","(33.1838787, -97.1413417, 0.0)",Denton County, United States,"Denton County,  United States"
280,"Illinois, USA",253,14,3,270,"Illinois, United States","(40.0796606, -89.4337288, 0.0)",Illinois, United States,"Illinois,  United States"
281,"Alberta, Canada",250,19,1,270,"Alberta, Canada","(55.001251, -115.002136, 0.0)",Alberta, Canada,"Alberta,  Canada"
283,"Irvine, CA",236,29,4,269,"Irvine, Orange County, California, United States","(33.6856969, -117.8259819, 0.0)",Irvine, United States,"Irvine,  United States"
284,"Bay Area, CA",231,35,1,267,"San Francisco Bay Area, San Francisco, California, 94110, United States","(37.7884969, -122.3558473, 0.0)",San Francisco Bay Area, United States,"San Francisco Bay Area,  United States"
285,"West Virginia, USA",241,22,1,264,"West Virginia, United States","(38.4758406, -80.8408415, 0.0)",West Virginia, United States,"West Virginia,  United States"
286,"Leicester, England",245,18,0,263,"Leicester, Leicestershire, England, LE1 5YA, United Kingdom","(52.6361398, -1.1330789, 0.0)",Leicester, United Kingdom,"Leicester,  United Kingdom"
287,Beirut,216,41,5,262,"Beirut, El Hamra, Ras Beirut, Beirut Governorate, 2034 1111, Lebanon","(33.8959203, 35.47843, 0.0)",Beirut, Lebanon,"Beirut,  Lebanon"
288,Silicon Valley,234,27,1,262,"Silicon Valley, Palo Alto, Santa Clara County, California, 94301, United States","(37.4429964, -122.1545229, 0.0)",Silicon Valley, United States,"Silicon Valley,  United States"
289,"Wales, United Kingdom",244,18,0,262,"Wales, United Kingdom","(52.2928116, -3.73893, 0.0)",Wales, United Kingdom,"Wales,  United Kingdom"
290,"Providence, RI",245,16,0,261,"Providence, Providence County, Rhode Island, United States","(41.8239891, -71.4128343, 0.0)",Providence, United States,"Providence,  United States"
291,"Brentwood, TN",232,26,1,259,"Brentwood, Williamson County, Tennessee, 37027, United States","(36.0325687, -86.7825235, 0.0)",Brentwood, United States,"Brentwood,  United States"
293,"Belgrade, Republic of Serbia",234,23,0,257,"Belgrade, City of Belgrade, Central Serbia, 11000, Serbia","(44.8178131, 20.4568974, 0.0)",Belgrade, Serbia,"Belgrade,  Serbia"
294,"Wilmington, NC",232,19,5,256,"Wilmington, New Hanover County, North Carolina, United States","(34.2257282, -77.9447107, 0.0)",Wilmington, United States,"Wilmington,  United States"
295,"Alaska, USA",224,27,3,254,"Alaska, United States","(64.4459613, -149.680909, 0.0)",Alaska, United States,"Alaska,  United States"
296,"Springfield, MO",238,13,2,253,"Springfield, Greene County, Missouri, United States","(37.1968298, -93.2946576, 0.0)",Springfield, United States,"Springfield,  United States"
297,"Geneva, Switzerland",204,38,6,248,"Geneva, Switzerland","(46.2017559, 6.1466014, 0.0)",Geneva, Switzerland,"Geneva,  Switzerland"
298,Bandung,218,25,4,247,"Bandung, Regol, West Java, 40252, Indonesia","(-6.9344694, 107.6049539, 0.0)",Bandung, Indonesia,"Bandung,  Indonesia"
300,"Queens, NY",226,21,0,247,"Queens, New York, United States","(40.7135078, -73.8283132, 0.0)",Queens, United States,"Queens,  United States"
301,Midwest,213,32,2,247,"Midwest, Natrona County, Wyoming, United States","(43.411391, -106.280075, 0.0)",Midwest, United States,"Midwest,  United States"
302,"Knoxville, TN",226,19,1,246,"Knoxville, Knox County, Tennessee, United States","(35.9603948, -83.9210261, 0.0)",Knoxville, United States,"Knoxville,  United States"
303,"Windsor, Ontario",231,13,1,245,"Windsor, Southwestern Ontario, Ontario, N9A 3A8, Canada","(42.317099, -83.0353434, 0.0)",Windsor, Canada,"Windsor,  Canada"
304,Blockchain,210,33,0,243,"BLOCKCHAIN, Набережная улица, Профессорский уголок, Alushta, городской округ Алушта, Republic of Crimea, 298500, Ukraine","(44.6465984, 34.4007341, 0.0)",BLOCKCHAIN, Ukraine,"BLOCKCHAIN,  Ukraine"
305,Wakanda,220,21,2,243,"Wakanda, Bukoba, Kagera, Lake Zone, Tanzania","(-1.6632409, 31.4014928, 0.0)",Wakanda, Tanzania,"Wakanda,  Tanzania"
306,Beijing,197,34,12,243,"Beijing, 100051, China","(39.906217, 116.3912757, 0.0)",Beijing, China,"Beijing,  China"
308,"Encinitas, CA",216,25,1,242,"Encinitas, San Diego County, California, United States","(33.0369867, -117.2919818, 0.0)",Encinitas, United States,"Encinitas,  United States"
307,Munchen,212,28,2,242,"Munich, Bavaria, Germany","(48.1371079, 11.5753822, 0.0)",Munich, Germany,"Munich,  Germany"
309,South Florida,218,21,2,241,"South Florida, Columbus, Cherokee County, Kansas, 66725, United States","(37.1677128, -94.8464256, 0.0)",South Florida, United States,"South Florida,  United States"
310,"Newport Beach, CA",221,19,0,240,"Newport Beach, Orange County, California, United States","(33.6170092, -117.9294401, 0.0)",Newport Beach, United States,"Newport Beach,  United States"
312,Palestine,201,37,1,239,"Palestinian Territories, Palestinian Territory","(31.462420950000002, 34.262716572130714, 0.0)",Palestinian Territories, Palestinian Territory,"Palestinian Territories,  Palestinian Territory"
313,"Oaxaca, Mexico",215,22,2,239,"Oaxaca, Mexico","(17.0, -96.5, 0.0)",Oaxaca, Mexico,"Oaxaca,  Mexico"
314,"Adelaide, South Australia",208,27,2,237,"Adelaide, Adelaide City Council, South Australia, Australia","(-34.9281805, 138.5999312, 0.0)",Adelaide, Australia,"Adelaide,  Australia"
315,Rotterdam,224,11,2,237,"Rotterdam, South Holland, Netherlands","(51.9244424, 4.47775, 0.0)",Rotterdam, Netherlands,"Rotterdam,  Netherlands"
316,"Alabama, USA",220,15,0,235,"Alabama, United States","(33.2588817, -86.8295337, 0.0)",Alabama, United States,"Alabama,  United States"
317,"Dar es Salaam, Tanzania",177,54,4,235,"Dar es Salaam, Coastal Zone, Tanzania","(-6.8160837, 39.2803583, 0.0)",Dar es Salaam, Tanzania,"Dar es Salaam,  Tanzania"
318,Mars,206,26,3,235,"Mars, Tournon-sur-Rhône, Ardèche, Auvergne-Rhône-Alpes, Metropolitan France, 07320, France","(45.022172, 4.3221548, 0.0)",Mars, France,"Mars,  France"
319,"Doha, Qatar",169,56,9,234,"Doha, Qatar","(25.2856329, 51.5264162, 0.0)",Doha, Qatar,"Doha,  Qatar"
320,"Windhoek, Namibia",198,32,3,233,"Windhoek, Khomas, Namibia","(-22.5776104, 17.0772739, 0.0)",Windhoek, Namibia,"Windhoek,  Namibia"
322,"Syracuse, NY",211,21,0,232,"City of Syracuse, Onondaga County, New York, United States","(43.0481221, -76.1474244, 0.0)",City of Syracuse, United States,"City of Syracuse,  United States"
323,Tehran,211,19,1,231,"Tehran, بخش مرکزی شهرستان تهران, Tehran County, Tehran Province, Iran","(35.6892523, 51.3896004, 0.0)",Tehran, Iran,"Tehran,  Iran"
