,City,Pro,Expert,Expert+,Creator Count,location,coordinates,state,country,OSM_Search_Query
87,"Pretoria, South Africa",700,89,9,798,"Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0126, South Africa","(-25.7459277, 28.1879101, 0.0)",Pretoria, South Africa,"Pretoria,  South Africa"
88,"Liverpool, England",723,63,9,795,"Liverpool, Merseyside, Liverpool City Region, England, United Kingdom","(53.4071991, -2.99168, 0.0)",Liverpool, United Kingdom,"Liverpool,  United Kingdom"
89,"Ankara, Turkiye",621,145,24,790,"Ankara, Çankaya, Ankara, Central Anatolia Region, 06660, Türkiye","(39.9207886, 32.8540482, 0.0)",Ankara, Türkiye,"Ankara,  Türkiye"
92,"Sydney, Australia",703,50,2,755,"Sydney, Council of the City of Sydney, New South Wales, Australia","(-33.8698439, 151.2082848, 0.0)",Sydney, Australia,"Sydney,  Australia"
93,"St Louis, MO",676,61,3,740,"Saint Louis, Missouri, United States","(38.6319657, -90.2428756, 0.0)",Saint Louis, United States,"Saint Louis,  United States"
95,"Michigan, USA",682,35,2,719,"Michigan, United States","(43.6211955, -84.6824346, 0.0)",Michigan, United States,"Michigan,  United States"
96,"North Carolina, USA",648,47,1,696,"North Carolina, United States","(35.6729639, -79.0392919, 0.0)",North Carolina, United States,"North Carolina,  United States"
97,"Bengaluru, India",585,91,19,695,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","(12.9767936, 77.590082, 0.0)",Bengaluru, India,"Bengaluru,  India"
98,Valencia,626,67,0,693,"Valencia, Comarca de València, Valencia, Valencian Community, Spain","(39.4697065, -0.3763353, 0.0)",Valencia, Spain,"Valencia,  Spain"
99,"Kentucky, USA",574,101,14,689,"Kentucky, United States","(37.5726028, -85.1551411, 0.0)",Londonucky, United States,"Londonucky,  United States"
100,"Kansas City, MO",636,51,2,689,"Kansas City, Jackson County, Missouri, United States","(39.100105, -94.5781416, 0.0)",Kansas City, United States,"Kansas City,  United States"
101,"Glasgow, Scotland",644,38,2,684,"Glasgow, Glasgow City, Scotland, G2 9SA, United Kingdom","(55.8609825, -4.2488787, 0.0)",Glasgow, United Kingdom,"Glasgow,  United Kingdom"
102,"Arizona, USA",623,57,3,683,"Arizona, United States","(34.395342, -111.763275, 0.0)",Arizona, United States,"Arizona,  United States"
103,"Oregon, USA",623,50,2,675,"Oregon, United States","(43.9792797, -120.737257, 0.0)",Oregon, United States,"Oregon,  United States"
104,"Baltimore, MD",624,46,4,674,"Baltimore, Maryland, United States","(39.2908816, -76.610759, 0.0)",Baltimore, United States,"Baltimore,  United States"
105,"Tampa, FL",613,58,2,673,"Tampa, Hillsborough County, Florida, United States","(27.9477595, -82.458444, 0.0)",Tampa, United States,"Tampa,  United States"
106,"Grand Rapids, MI",604,54,5,663,"Grand Rapids, Kent County, Michigan, United States","(42.9632405, -85.6678639, 0.0)",Grand Rapids, United States,"Grand Rapids,  United States"
107,"Cordoba, Argentina",574,80,4,658,"Cordoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina","(-31.4173391, -64.183319, 0.0)",Cordoba, Argentina,"Cordoba,  Argentina"
109,"Virginia, USA",615,40,2,657,"Virginia, United States","(37.1232245, -78.4927721, 0.0)",Virginia, United States,"Virginia,  United States"
110,"Bogota, D.C., Colombia",538,101,15,654,"Bogota, Bogota Capital District - Municipality, Colombia","(4.6534649, -74.0836453, 0.0)",Bogota, Colombia,"Bogota,  Colombia"
111,"Cincinnati, OH",606,44,2,652,"Cincinnati, Hamilton County, Ohio, United States","(39.1014537, -84.5124602, 0.0)",Cincinnati, United States,"Cincinnati,  United States"
112,"Brighton, England",599,44,3,646,"Brighton, Brighton and Hove, England, United Kingdom","(50.83891575, -0.12693054250074665, 0.0)",Brighton, United Kingdom,"Brighton,  United Kingdom"
113,"Cape Town, South Africa",577,59,3,639,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa","(-33.928992, 18.417396, 0.0)",Cape Town, South Africa,"Cape Town,  South Africa"
114,"Islamabad, Pakistan",487,114,37,638,"Islamabad, Islamabad Capital Territory, 44000, Pakistan","(33.6938118, 73.0651511, 0.0)",Islamabad, Pakistan,"Islamabad,  Pakistan"
116,"Centurion, South Africa",588,42,7,637,"Centurion, City of Tshwane Metropolitan Municipality, Gauteng, 0014, South Africa","(-25.836389, 28.180278, 0.0)",Centurion, South Africa,"Centurion,  South Africa"
117,"North West, England",605,30,0,635,"North West, 41, Talbot Street, Lace Market, The Park, Nottingham, England, NG1 5GY, United Kingdom","(52.9559076, -1.1557387, 0.0)",North West, United Kingdom,"North West,  United Kingdom"
119,"Cleveland, OH",578,42,4,624,"Cleveland, Cuyahoga County, Ohio, United States","(41.4996562, -81.6936813, 0.0)",Cleveland, United States,"Cleveland,  United States"
120,"New Orleans, LA",564,44,7,615,"New Orleans, Orleans Parish, Louisiana, United States","(29.9759983, -90.0782127, 0.0)",New Orleans, United States,"New Orleans,  United States"
121,"Kampala, Uganda",522,88,3,613,"Kampala, Central Region, Uganda","(0.3177137, 32.5813539, 0.0)",Kampala, Uganda,"Kampala,  Uganda"
123,Universe,536,54,2,592,"Universe, Gammel Fabriksvej, Elsmark, Svenstrup, Sønderborg Municipality, Region of Southern Denmark, 6430, Denmark","(55.04104775, 9.810356535653737, 0.0)",Universe, Denmark,"Universe,  Denmark"
125,"Dubai, United Arab Emirates",506,68,8,582,"Dubai, United Arab Emirates","(25.074282349999997, 55.18853865430702, 0.0)",Dubai, United Arab Emirates,"Dubai,  United Arab Emirates"
126,"Minnesota, USA",525,50,6,581,"Minnesota, United States","(45.9896587, -94.6113288, 0.0)",Minnesota, United States,"Minnesota,  United States"
127,"South East, England",546,34,1,581,"Peckham Palms, South, Bournemouth Close, Peckham, London Borough of Southwark, London, Greater London, England, SE15 4TP, United Kingdom","(51.4680988, -0.0666715, 0.0)",Peckham Palms, United Kingdom,"Peckham Palms,  United Kingdom"
128,"Oxford, England",525,41,2,568,"Oxford, Oxfordshire, England, United Kingdom","(51.7520131, -1.2578499, 0.0)",Oxford, United Kingdom,"Oxford,  United Kingdom"
131,"Medellin, Colombia",457,86,6,549,"Medellín, Valle de Aburrá, Antioquia, 0500, Colombia","(6.2443382, -75.573553, 0.0)",Medellín, Colombia,"Medellín,  Colombia"
132,"West Hollywood, CA",485,54,4,543,"West Hollywood, Los Angeles County, California, United States","(34.0923014, -118.3692894, 0.0)",Hollywood, United States,"Hollywood,  United States"
135,"Long Island, NY",511,26,4,541,"Long Island, New York, United States","(40.85149705, -73.0994258107431, 0.0)",Long Island, United States,"Long Island,  United States"
136,"Lima, Peru",394,119,27,540,"Lima, Province of Lima, Lima Metropolitan Area, Lima, Peru","(-12.0621065, -77.0365256, 0.0)",Lima, Peru,"Lima,  Peru"
